RA_center_deg,DEC_center_deg,highz_count_within_1p128deg,region
37.001535,-0.7572291,0,outside_eFEDS
41.301535,-0.0272291,0,outside_eFEDS
39.101535,-0.0272291,0,outside_eFEDS
183.301535,-0.772291,1,outside_eFEDS
181.001535,-0.072291,0,outside_eFEDS
37.001535,1.427709,0,outside_eFEDS
209.701535,5.137709,0,outside_eFEDS
150.001535,3.727709,1,outside_eFEDS
178.801535,-0.8572291,0,outside_eFEDS
151.301535,1.527709,0,outside_eFEDS
149.001535,1.427709,2,outside_eFEDS
36.001535,-4.572291,0,outside_eFEDS
183.001535,1.427709,0,outside_eFEDS
178.831535,1.427709,0,outside_eFEDS
41.001535,1.927709,0,outside_eFEDS
198.17,-2.70417,1,outside_eFEDS
218.6032430913278,2.7583726725522086,0,outside_eFEDS
219.7907754373592,-0.3414602905184298,0,outside_eFEDS
212.31436237852617,-0.7496715078762812,0,outside_eFEDS
215.98598728672624,-0.2775426079421457,0,outside_eFEDS
332.18,0.9,0,outside_eFEDS
319.06,2.332,0,outside_eFEDS
325.36,2.513,0,outside_eFEDS
358.48,0.873,0,outside_eFEDS
358.48,-1.122,0,outside_eFEDS
357.74,2.861,0,outside_eFEDS
