RA_center_deg,DEC_center_deg,count_within_1p128deg,region,highz_in_1p128deg
37.001535,-0.7572291,3005,outside_eFEDS,0
41.301535,-0.0272291,2724,outside_eFEDS,0
39.101535,-0.0272291,2525,outside_eFEDS,0
183.301535,-0.772291,2165,outside_eFEDS,1
181.001535,-0.072291,2109,outside_eFEDS,0
37.001535,1.427709,2016,outside_eFEDS,0
209.001535,5.427709,1586,outside_eFEDS,0
150.001535,3.427709,1841,outside_eFEDS,0
178.801535,-0.8572291,1748,outside_eFEDS,0
151.301535,1.527709,1700,outside_eFEDS,0
149.001535,1.427709,1618,outside_eFEDS,0
36.001535,-4.572291,1584,outside_eFEDS,0
183.001535,1.427709,1572,outside_eFEDS,0
178.831535,1.427709,1429outside_eFEDS,,0
41.001535,1.927709,1107,outside_eFEDS,0
198.0,-3.0,1417,outside_eFEDS,0
218.6032430913278,2.7583726725522086,2197,outside_eFEDS,0
219.7907754373592,-0.3414602905184298,2192,outside_eFEDS,0
212.31436237852617,-0.7496715078762812,2120,outside_eFEDS,0
215.98598728672624,-0.2775426079421457,2291,outside_eFEDS,0
332.18,0.9,1111,outside_eFEDS,0
319.06,2.332,1111,outside_eFEDS,0
325.36,2.513,1111,outside_eFEDS,0
358.48,0.873,1111,outside_eFEDS,0
358.48,-1.122,1111,outside_eFEDS,0
357.74,2.861,1111,outside_eFEDS,0
