desi,name,ra,dec,z,zmag,zmagerr
DESI ,J000147.64-035247.4    ,0.4485,-3.87986,5.27,20.79,0.01
DESI ,J000232.92+131433.7    ,0.63716,13.2427,5.82,21.3,0.04
DESI ,J000233.24+212725.0    ,0.6385,21.45695,6.19,21.47,0.04
DESI ,J000503.75+214506.1    ,1.26562,21.75171,5.36,19.76,0.01
DESI ,J000619.38+133649.6    ,1.58077,13.6138,4.86,21.19,0.04
DESI ,J000918.00-101723.0    ,2.325,-10.28972,5.33,21.27,0.04
DESI ,J001040.04+115823.4    ,2.66682,11.97319,5.44,20.17,0.01
DESI ,J001149.47+074520.5    ,2.95614,7.7557,4.92,19.61,0.01
DESI ,J001744.71+230131.9    ,4.43631,23.02553,4.77,21.38,0.04
DESI ,J001835.00+081559.4    ,4.64585,8.26652,5.34,21.05,0.03
DESI ,J001912.13+043551.3    ,4.80056,4.5976,5.03,20.2,0.01
DESI ,J002633.47+162937.5    ,6.63945,16.49376,5.1,21.35,0.05
DESI ,J002633.61+251653.1    ,6.64003,25.28142,5.06,21.04,0.03
DESI ,J002956.51+290912.4    ,7.48546,29.15345,4.92,20.43,0.03
DESI ,J003158.87+144941.4    ,7.9953,14.82819,4.85,20.0,0.01
DESI ,J003350.60+023559.0    ,8.46084,2.59973,4.86,20.12,0.01
DESI ,J003502.32-023153.9    ,8.75967,-2.53165,4.62,20.9,0.01
DESI ,J003705.84+241053.3    ,9.27432,24.18147,5.05,20.26,0.01
DESI ,J003933.07+311717.0    ,9.88781,31.28806,4.87,20.31,0.02
DESI ,J004422.36+170508.2    ,11.09317,17.08561,4.78,21.14,0.03
DESI ,J005002.24+110407.5    ,12.50933,11.06876,5.06,20.96,0.03
DESI ,J005358.90-145203.0    ,13.49542,-14.86752,4.91,20.45,0.02
DESI ,J005411.02-115530.7    ,13.54593,-11.9252,4.83,20.96,0.03
DESI ,J005658.99-050825.7    ,14.2458,-5.14048,4.82,21.24,0.02
DESI ,J005814.57+035222.0    ,14.56072,3.87278,4.87,21.34,0.02
DESI ,J010103.68+032609.6    ,15.26533,3.43601,4.89,19.79,0.01
DESI ,J010355.25+035018.5    ,15.98022,3.83848,4.96,20.91,0.01
DESI ,J010522.03-132358.0    ,16.3418,-13.39945,4.89,20.84,0.02
DESI ,J010744.40+040429.9    ,16.93501,4.07498,5.61,21.36,0.02
DESI ,J011318.55+060627.7    ,18.32729,6.1077,5.19,20.48,0.02
DESI ,J011340.32+250925.7    ,18.41799,25.15715,4.9,21.04,0.03
DESI ,J011409.71+032408.4    ,18.54044,3.40236,5.04,20.67,0.01
DESI ,J011428.92+254642.5    ,18.62048,25.77849,6.09,20.54,0.02
DESI ,J011548.10+262000.0    ,18.9504,26.33335,5.33,21.38,0.05
DESI ,J011553.41+031829.3    ,18.97252,3.30816,6.51,20.76,0.01
DESI ,J011853.37+221034.6    ,19.72237,22.17628,4.81,20.04,0.02
DESI ,J012042.09+083315.9    ,20.17537,8.55443,5.01,20.88,0.02
DESI ,J012113.85+111313.6    ,20.30769,11.22047,4.67,21.31,0.04
DESI ,J012122.02+222831.7    ,20.34174,22.4755,5.07,19.08,0.01
DESI ,J012235.47-003602.4 b  ,20.64778,-0.60069,6.26,21.25,0.02
DESI ,J012634.58+281217.9    ,21.64407,28.20499,4.74,19.42,0.01
DESI ,J013018.29+270231.5    ,22.57621,27.0421,4.88,19.76,0.01
DESI ,J013043.52+174153.7    ,22.68132,17.69827,4.88,20.69,0.02
DESI ,J013319.70+233914.6    ,23.33209,23.65408,5.0,20.55,0.02
DESI ,J013524.96+174028.8    ,23.85399,17.67468,5.15,20.12,0.01
DESI ,J013658.36+225259.5    ,24.24318,22.88319,4.95,19.72,0.01
DESI ,J013844.03+064942.3    ,24.68347,6.82843,5.13,19.63,0.01
DESI ,J013920.34+202808.4    ,24.83475,20.469,4.8,20.9,0.03
DESI ,J014426.10+083511.8    ,26.10874,8.58662,5.48,21.33,0.04
DESI ,J014839.31-012718.6    ,27.16379,-1.45519,5.08,20.67,0.01
DESI ,J015006.43-132615.7    ,27.52678,-13.4377,5.13,20.5,0.01
DESI ,J015031.07-133153.4    ,27.62946,-13.5315,4.9,20.76,0.01
DESI ,J015317.25+050546.7    ,28.32188,5.09631,4.83,21.18,0.03
DESI ,J015713.95-052922.8    ,29.30813,-5.48967,4.85,21.14,0.02
DESI ,J015843.69+054706.0    ,29.68205,5.78501,5.11,21.3,0.03
DESI ,J020029.51+194538.9    ,30.12297,19.76083,6.0,20.72,0.03
DESI ,J020033.31-173726.0 c  ,30.1388,-17.6239,6.09,20.92,0.01
DESI ,J020102.46-050408.8    ,30.26023,-5.06912,4.87,20.84,0.02
DESI ,J020142.89-015350.5    ,30.42872,-1.89738,5.03,19.47,0.01
DESI ,J020231.94-072554.7    ,30.63309,-7.43187,4.89,20.96,0.02
DESI ,J020503.68+031622.3    ,31.26531,3.27288,5.0,20.16,0.01
DESI ,J020506.53+305111.2    ,31.27722,30.85312,5.0,20.12,0.01
DESI ,J021545.83+293303.5    ,33.94094,29.55098,5.0,20.91,0.03
DESI ,J021610.17+045059.0    ,34.04236,4.84973,4.93,19.83,0.01
DESI ,J022105.35+040044.1    ,35.27231,4.01225,5.03,20.62,0.01
DESI ,J022419.53+081720.6    ,36.08139,8.28906,4.79,21.17,0.03
DESI ,J022604.75-091818.8    ,36.51977,-9.30524,5.32,20.68,0.02
DESI ,J023104.77+071658.9    ,37.76988,7.28303,5.33,20.86,0.02
DESI ,J023228.45+192756.5    ,38.11856,19.46571,4.7,20.4,0.02
DESI ,J023448.17+104250.3    ,38.7007,10.71399,4.8,20.88,0.02
DESI ,J023716.37-075314.3    ,39.31821,-7.88732,4.89,20.89,0.01
DESI ,J024035.11-111929.0    ,40.14629,-11.32473,4.92,20.66,0.01
DESI ,J024627.29-035536.9    ,41.61372,-3.92693,4.91,21.03,0.01
DESI ,J024640.87+054428.4    ,41.67028,5.74124,4.87,20.97,0.03
DESI ,J025041.81-052539.7    ,42.67419,-5.4277,5.06,20.25,0.01
DESI ,J025923.42-151506.6    ,44.8476,-15.25184,5.22,20.23,0.01
DESI ,J030128.15-061959.0    ,45.3673,-6.33306,5.36,21.27,0.02
DESI ,J030627.86-044123.8    ,46.6161,-4.68996,5.17,20.14,0.01
DESI ,J030636.92-122242.4    ,46.65382,-12.37845,5.15,19.24,0.01
DESI ,J031726.27-033733.5    ,49.35948,-3.62599,5.21,20.41,0.01
DESI ,J031805.39-032310.2    ,49.52247,-3.38617,5.19,19.53,0.01
DESI ,J032810.18+010510.4    ,52.04241,1.08624,4.96,20.93,0.02
DESI ,J032829.73-012647.7    ,52.12388,-1.4466,4.88,20.29,0.01
DESI ,J033246.16-112459.1    ,53.19231,-11.41642,5.5,20.7,0.01
DESI ,J033428.46-061408.1    ,53.61857,-6.23559,5.78,21.09,0.02
DESI ,J033438.16-052557.8    ,53.65899,-5.43273,6.21,20.82,0.01
DESI ,J034108.07-021231.9    ,55.28363,-2.20887,5.44,21.13,0.02
DESI ,J034141.03-111605.4    ,55.42095,-11.26817,4.77,21.12,0.02
DESI ,J034652.65-012128.8    ,56.71939,-1.35801,5.14,21.2,0.03
DESI ,J035442.10-093448.1    ,58.67544,-9.58004,5.27,21.28,0.03
DESI ,J040302.56-170641.0    ,60.76067,-17.1114,4.89,19.8,0.01
DESI ,J040331.90-035508.3    ,60.88293,-3.91899,6.19,20.54,0.01
DESI ,J040407.83-044134.8    ,61.03264,-4.69301,5.95,21.17,0.02
DESI ,J040627.31-085828.9    ,61.61377,-8.9747,4.89,21.24,0.03
DESI ,J040632.22-115308.0    ,61.63427,-11.88556,4.98,20.76,0.02
DESI ,J040734.55-035341.9    ,61.89394,-3.89498,4.93,21.18,0.02
DESI ,J041314.79-135935.9    ,63.31161,-13.99331,5.24,19.58,0.01
DESI ,J041527.54-080608.6    ,63.86475,-8.10241,4.96,19.82,0.01
DESI ,J041720.62-123510.3    ,64.33591,-12.58621,5.13,21.37,0.03
DESI ,J041741.54-073609.6    ,64.42309,-7.60268,4.85,20.31,0.01
DESI ,J042624.04-012518.7    ,66.60017,-1.42187,4.72,18.99,0.004
DESI ,J043054.95-092733.8    ,67.72895,-9.45942,4.93,19.47,0.01
