RA_center_deg,DEC_center_deg,set1_count,set1_pct,set2_count,set2_pct,set3_count,set3_pct,total_selected,target_total
144.001535,3.027709,640,40.0,480,30.0,480,30.0,1600,1600
141.501535,3.027709,640,40.0,480,30.0,480,30.0,1600,1600
132.001535,1.427709,640,40.0,480,30.0,480,30.0,1600,1600
139.201535,1.155,640,40.0,480,30.0,480,30.0,1600,1600
136.901535,-0.9572291,640,40.0,480,30.0,480,30.0,1600,1600
143.301535,0.609,640,40.0,480,30.0,480,30.0,1600,1600
129.53,4.454,640,40.0,480,30.0,480,30.0,1600,1600
132.25,3.859,640,40.0,480,30.0,480,30.0,1600,1600
135.85,1.111,640,40.0,480,30.0,480,30.0,1600,1600
138.63,3.852,640,40.0,480,30.0,480,30.0,1600,1600
