RA_center_deg,DEC_center_deg,set1_count,set1_pct,set2_count,set2_pct,set3_count,set3_pct,total_selected,target_total
37.001535,-0.7572291,640,40.0,480,30.0,480,30.0,1600,1600
41.301535,-0.0272291,640,40.0,480,30.0,480,30.0,1600,1600
39.101535,-0.0272291,640,40.0,480,30.0,480,30.0,1600,1600
183.301535,-0.772291,640,40.0,480,30.0,480,30.0,1600,1600
181.001535,-0.072291,640,40.0,480,30.0,480,30.0,1600,1600
37.001535,1.427709,640,40.0,480,30.0,480,30.0,1600,1600
209.701535,5.137709,640,40.0,480,30.0,480,30.0,1600,1600
150.001535,3.727709,640,40.0,480,30.0,480,30.0,1600,1600
178.801535,-0.8572291,640,40.0,480,30.0,480,30.0,1600,1600
151.301535,1.527709,640,40.0,480,30.0,480,30.0,1600,1600
149.001535,1.427709,640,40.0,480,30.0,480,30.0,1600,1600
36.001535,-4.572291,640,40.0,480,30.0,480,30.0,1600,1600
183.001535,1.427709,640,40.0,480,30.0,480,30.0,1600,1600
178.831535,1.427709,640,40.0,480,30.0,480,30.0,1600,1600
41.001535,1.927709,640,40.0,480,30.0,480,30.0,1600,1600
198.17,-2.70417,640,40.0,480,30.0,480,30.0,1600,1600
218.6032430913278,2.7583726725522086,640,40.0,480,30.0,480,30.0,1600,1600
219.7907754373592,-0.3414602905184298,640,40.0,480,30.0,480,30.0,1600,1600
212.31436237852617,-0.7496715078762812,640,40.0,480,30.0,480,30.0,1600,1600
215.98598728672624,-0.2775426079421457,640,40.0,480,30.0,480,30.0,1600,1600
332.18,0.9,640,40.0,480,30.0,480,30.0,1600,1600
319.06,2.332,640,40.0,480,30.0,480,30.0,1600,1600
325.36,2.513,640,40.0,480,30.0,480,30.0,1600,1600
358.48,0.873,640,40.0,480,30.0,480,30.0,1600,1600
358.48,-1.122,640,40.0,480,30.0,480,30.0,1600,1600
357.74,2.861,640,40.0,480,30.0,480,30.0,1600,1600
